wrclmch,anweight,party_feel_closest
-0.4,0.33327895,left
0.8,0.054313693,left
0.0,0.97130644,left
0.8,0.42045686,left
0.4,0.6982442,left
0.4,0.13819683,left
0.8,0.29627848,left
0.4,0.58381903,left
0.4,0.05213111,left
0.4,0.3127494,left
0.4,0.3931305,left
0.8,0.1621211,left
0.4,0.164786,middle left
0.8,0.16370428,middle left
0.4,0.13777868,middle left
0.0,0.28369537,middle left
0.0,0.07964969,middle left
0.0,0.25676864,middle left
0.4,0.1950677,middle left
0.0,0.036070555,middle left
0.0,0.0950725,middle left
0.0,0.12189031,middle left
0.4,0.13009207,middle left
0.4,0.11401966,middle left
0.0,0.12160441,middle left
0.0,0.3968104,middle left
-0.4,0.24399126,middle left
0.0,1.3238645,middle left
0.0,0.36943728,middle left
0.0,0.11381127,middle left
0.0,0.13879953,middle left
0.0,0.22311966,middle left
0.0,0.23237638,middle left
0.4,0.102386475,middle left
0.4,0.387933,middle left
0.0,0.10317534,middle left
0.0,0.37834403,middle left
0.4,0.1895158,middle left
0.4,0.23324628,middle left
0.4,0.18621555,none
-0.4,0.10142514,none
-0.4,0.12315937,none
0.0,0.22536455,none
0.4,0.2624325,none
0.0,0.22425073,none
-0.8,0.086290635,none
0.0,0.09672516,none
0.0,0.21725476,none
0.4,0.45607427,none
0.0,0.05414158,none
0.4,0.08725899,none
0.4,0.09577179,none
0.4,0.07719966,none
0.0,0.27772847,none
0.0,0.26320636,none
-0.4,0.40063697,none
0.0,0.15526402,none
0.4,0.30155244,none
0.8,0.11402514,none
0.0,0.21258536,none
-0.4,0.1441259,none
0.0,1.1879488,none
0.0,0.10431008,none
0.0,0.4879825,none
0.4,0.0915496,none
0.4,0.1429579,none
0.0,0.40937296,none
-0.4,0.36697358,none
-0.4,0.1276948,none
0.0,1.2182386,none
0.0,0.07454017,none
0.0,0.21814755,none
0.4,0.30829272,none
0.4,0.03693064,none
0.8,0.13899043,none
0.0,0.31736785,none
0.0,0.21522257,none
0.0,0.3950036,none
-0.4,0.15922777,none
0.8,0.94633317,none
0.0,0.39649296,none
0.4,0.09976586,none
0.0,0.39144412,none
0.4,0.2699754,none
0.0,0.36393422,none
0.0,0.5992638,none
0.4,0.46657804,none
0.0,0.40063685,none
0.0,1.191939,none
0.0,0.48149785,none
0.0,0.044167325,none
0.0,0.8319,none
0.4,0.03842258,none
0.0,0.07867683,none
0.4,0.111378334,none
0.0,0.2962739,none
0.4,0.14912452,none
-0.4,0.32620826,none
0.4,0.14772256,none
0.8,0.14735793,none
0.0,0.05771568,none
0.4,0.07739921,none
0.0,0.22425073,none
0.0,0.102386475,none
0.0,0.31551477,none
0.4,0.080475174,none
0.4,0.14735793,none
0.0,0.28813544,none
0.4,0.13251084,none
-0.4,0.22762254,none
0.4,0.13251084,none
0.8,1.3238645,none
-0.8,0.961415,none
0.0,0.21895489,none
0.4,0.27015936,none
0.0,0.26418492,none
0.0,0.061002918,none
0.0,0.08655266,none
0.8,0.83083594,none
0.0,0.07763201,none
0.4,0.08333596,none
0.0,0.09078405,none
0.0,0.098672405,none
0.0,0.063962385,none
-0.4,0.114349134,none
0.0,0.31879148,none
0.4,0.41821712,none
0.4,0.43623018,none
0.8,0.43039182,none
0.0,0.22311963,none
0.8,0.3679312,none
0.4,0.5521826,none
0.4,0.11680641,none
0.0,1.0938772,none
0.4,1.3238645,none
-0.4,0.70455307,none
0.0,0.13608515,none
0.0,0.32005274,none
0.4,0.42538044,none
0.0,0.26824424,none
0.4,0.16213389,none
0.0,0.09127871,none
0.8,0.13899043,none
0.0,0.08184654,none
0.4,0.30604532,none
0.8,0.33039227,none
0.0,0.12160441,none
-0.4,0.23926044,none
0.8,0.75686413,none
0.0,0.3227943,none
-0.4,0.20094818,none
0.4,0.29061136,none
0.0,0.13972022,none
0.0,0.31014088,none
0.4,0.21574178,none
-0.4,0.34919327,none
0.4,0.51220804,none
0.0,0.57176554,none
0.4,0.13777868,none
0.4,0.17967631,none
0.4,0.07763201,none
0.0,1.2143338,none
0.4,0.26229855,middle right
0.0,0.1729862,middle right
0.4,0.07182691,middle right
0.0,0.13437259,middle right
0.0,0.047483135,middle right
0.0,0.79804116,middle right
-0.8,0.095651016,middle right
0.0,0.103764966,middle right
0.4,1.3238645,middle right
-0.4,0.66124743,middle right
0.4,0.7477343,middle right
0.0,1.3238645,middle right
-0.4,0.13517718,middle right
0.4,0.14069255,middle right
0.4,0.33774567,middle right
0.8,0.84462255,middle right
0.4,0.6665579,middle right
0.4,0.29267672,middle right
-0.4,0.27779457,middle right
0.0,1.3238643,middle right
0.0,0.06571625,middle right
0.0,0.042226527,middle right
0.8,0.08725899,middle right
0.0,0.107597955,middle right
-0.4,0.23237638,middle right
0.0,0.12907189,middle right
0.0,0.055122692,middle right
0.0,0.27798086,middle right
0.0,0.060802206,right
-0.4,0.15061393,right
0.0,0.16204047,right
0.0,0.06991398,right
-0.4,0.19709627,right
0.4,0.05045238,right
0.0,0.16872005,right
0.4,0.03672492,right
0.4,0.16035862,right
-0.4,1.0476283,right
