wrclmch,anweight,party_feel_closest
0.0,1.0668666,left
0.8,0.23045094,left
0.8,0.056871403,left
0.0,0.5521826,left
0.4,0.70143235,left
0.4,1.3238645,left
0.4,0.16093153,left
0.0,0.13801286,left
0.4,1.3236659,left
0.0,0.043200288,left
0.8,0.21157856,middle left
0.0,0.7639447,middle left
0.0,0.37834403,middle left
0.0,0.04753625,middle left
0.0,1.106983,middle left
0.0,0.47000894,middle left
0.4,0.54653525,middle left
0.4,0.4637355,middle left
0.4,0.115610704,middle left
0.4,0.09672516,middle left
0.4,0.10899844,middle left
0.0,0.11381127,middle left
0.0,0.20752993,middle left
0.4,0.5515407,middle left
0.0,0.60310495,middle left
0.4,0.15414636,middle left
0.4,0.0978774,middle left
0.0,0.07427202,middle left
0.0,1.3238642,middle left
0.4,0.1950677,middle left
0.4,0.30155247,middle left
0.0,0.31303567,middle left
0.8,1.201156,middle left
0.0,0.09496627,middle left
0.0,1.3238645,middle left
0.0,0.37241134,middle left
0.4,0.27038366,middle left
-0.4,0.11895834,none
0.0,0.14720772,none
0.8,0.043386362,none
0.4,0.10900985,none
-0.8,0.13829029,none
0.0,0.30122787,none
0.8,1.3238643,none
0.4,0.32520747,none
0.4,0.20379488,none
0.0,0.03693064,none
0.4,0.14069255,none
0.8,0.19209859,none
-0.8,0.215119,none
-0.4,0.46025607,none
0.4,0.79958344,none
-0.4,0.065786615,none
-0.4,0.887835,none
0.8,0.7702916,none
0.0,0.10431008,none
0.0,0.09496627,none
0.0,0.18445346,none
0.4,0.24036916,none
-0.4,0.28140143,none
-0.4,0.16370428,none
-0.8,0.56221443,none
0.4,0.46657804,none
0.4,0.24631874,none
0.0,0.20379491,none
0.4,0.10828316,none
0.4,0.07227397,none
-0.4,0.16538699,none
-0.4,0.16519614,none
0.4,0.17249608,none
0.4,0.095651016,none
0.4,0.22502883,none
-0.8,0.24106735,none
-0.4,0.15271756,none
0.0,0.095822476,none
0.4,0.06135559,none
-0.4,0.5238143,none
0.0,0.29610863,none
-0.4,0.2890063,none
0.8,0.16370428,none
0.4,0.17208794,none
0.0,0.30763754,none
0.0,0.07763201,none
0.4,0.16929258,none
0.0,0.4721567,none
0.4,0.14772256,none
0.4,0.22953384,none
-0.4,0.16212454,none
0.0,0.7869277,none
0.0,0.08210337,none
0.0,0.058316287,none
-0.4,0.9413507,none
0.8,1.3238643,none
0.0,0.17940208,none
0.8,0.05800591,none
0.4,1.1587864,none
-0.4,0.057419594,none
0.0,0.11609869,none
0.0,0.10142515,none
0.0,0.10787089,none
0.4,0.043629494,none
-0.8,0.051213868,none
0.4,0.16330086,none
0.8,0.12845486,none
0.0,0.23328903,none
0.0,0.34181038,none
0.0,0.164786,none
0.0,0.09154959,none
0.0,0.33039227,none
0.0,0.09646117,none
0.0,0.18747275,none
0.4,0.24320082,none
0.0,0.21082483,none
0.0,0.23861705,none
0.0,0.18327813,none
0.0,0.081020236,none
0.0,0.07867683,none
0.0,0.16921861,none
0.4,0.13251084,none
0.4,0.075603455,none
0.4,0.106315374,none
0.0,0.47606477,none
0.0,0.045385156,none
-0.4,0.27723357,none
0.4,0.14735793,none
0.8,0.11989677,none
0.0,0.0639624,none
-0.8,0.28490525,none
0.0,0.083930574,none
0.0,0.7902763,none
0.4,0.30091238,none
0.0,1.3238643,none
0.0,0.538723,none
0.8,0.12498706,none
0.4,0.5403188,none
0.0,0.78288823,none
-0.4,0.09420827,none
-0.4,0.047769975,none
0.4,0.22965458,none
0.8,0.09069554,none
0.4,0.31625628,none
0.8,0.7505176,none
-0.8,0.16815524,none
0.0,0.10787092,none
0.4,0.34500897,none
0.8,0.16378823,none
0.8,0.14777084,none
0.0,0.07386128,none
0.4,0.07614878,none
0.0,0.095766954,none
0.4,0.7116839,none
0.0,0.12160441,none
0.4,0.19625835,none
0.0,0.31879148,none
0.0,0.046058994,none
0.0,0.09496627,none
0.4,1.1291009,none
0.4,0.2701594,none
0.4,0.114422105,none
0.4,1.3238642,none
0.0,0.21574178,none
0.4,0.08076826,none
0.0,0.12160441,none
0.0,0.09945239,none
0.0,0.52073646,middle right
0.0,0.19595523,middle right
0.0,0.1939665,middle right
0.4,0.19803452,middle right
-0.4,0.66124743,middle right
0.4,0.0978774,middle right
0.0,0.30974963,middle right
0.0,0.21263072,middle right
0.0,0.17090514,middle right
0.4,0.6699342,middle right
-0.4,0.060802206,middle right
0.0,0.053822216,middle right
0.4,0.17011313,middle right
0.0,0.119560294,middle right
0.0,0.092465535,middle right
0.0,0.7182955,middle right
0.4,0.47106415,middle right
0.4,0.13899043,middle right
-0.4,0.7326417,middle right
0.4,0.473632,middle right
0.0,0.2669762,right
-0.4,0.35759655,right
0.0,0.5365671,right
-0.4,0.5238143,right
-0.4,0.6031049,right
-0.4,1.1030811,right
-0.4,0.20824687,right
0.0,1.3165886,right
-0.4,0.2286787,right
-0.4,0.22869827,right
0.0,0.28590885,right
0.0,0.15409446,right
0.4,0.054313693,right
-0.4,0.26190716,right
-0.4,0.034836493,right
0.4,0.11663257,right
